MAC-Adresse,Distanz (cm)
0x0000,2855
0x0000,2856
0x0000,2853
0x0000,2855
0x0000,2854
0x0000,2856
0x0000,2853
0x0000,2855
0x0000,2855
0x0000,2855
0x0000,2853
0x0000,2857
0x0000,2855
0x0000,2855
0x0000,2854
0x0000,2857
0x0000,2852
0x0000,2854
0x0000,2856
0x0000,2853
0x0000,2853
0x0000,2855
0x0000,2854
0x0000,2856
0x0000,2853
0x0000,2854
0x0000,2854
0x0000,2857
0x0000,2855
0x0000,2855
0x0000,2854
0x0000,2854
0x0000,2854
0x0000,2856
0x0000,2854
0x0000,2855
0x0000,2853
0x0000,2855
0x0000,2855
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2856
0x0000,2856
0x0000,2854
0x0000,2855
0x0000,2853
0x0000,2851
0x0000,2853
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2852
0x0000,2855
0x0000,2853
0x0000,2855
0x0000,2856
0x0000,2856
0x0000,2852
0x0000,2851
0x0000,2853
0x0000,2855
0x0000,2853
0x0000,2853
0x0000,2856
0x0000,2854
0x0000,2854
0x0000,2853
0x0000,2855
0x0000,2852
0x0000,2853
0x0000,2853
0x0000,2854
0x0000,2855
0x0000,2853
0x0000,2852
0x0000,2855
0x0000,2855
0x0000,2856
0x0000,2852
0x0000,2853
0x0000,2854
0x0000,2852
0x0000,2854
0x0000,2854
0x0000,2856
0x0000,2855
0x0000,2852
0x0000,2854
0x0000,2851
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2854
0x0000,2855
0x0000,2856
0x0000,2854
0x0000,2856
0x0000,2856
0x0000,2858
0x0000,2854
0x0000,2853
0x0000,2854
0x0000,2856
0x0000,2856
0x0000,2857
0x0000,2855
0x0000,2853
0x0000,2856
0x0000,2855
0x0000,2856
0x0000,2853
0x0000,2853
0x0000,2854
0x0000,2854
0x0000,2853
0x0000,2854
0x0000,2852
0x0000,2855
0x0000,2855
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2856
0x0000,2853
0x0000,2854
0x0000,2854
0x0000,2855
0x0000,2860
0x0000,2856
0x0000,2855
0x0000,2854
0x0000,2853
0x0000,2855
0x0000,2852
0x0000,2852
0x0000,2851
0x0000,2852
0x0000,2854
0x0000,2856
0x0000,2856
0x0000,2852
0x0000,2853
0x0000,2855
0x0000,2854
0x0000,2856
0x0000,2854
0x0000,2854
0x0000,2852
0x0000,2852
0x0000,2855
0x0000,2854
0x0000,2854
0x0000,2854
0x0000,2855
0x0000,2853
0x0000,2855
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2852
0x0000,2854
0x0000,2854
0x0000,2852
0x0000,2852
0x0000,2853
0x0000,2857
0x0000,2853
0x0000,2854
0x0000,2856
0x0000,2856
0x0000,2855
0x0000,2853
0x0000,2857
0x0000,2853
0x0000,2855
0x0000,2851
0x0000,2855
0x0000,2852
0x0000,2853
0x0000,2856
0x0000,2856
0x0000,2854
0x0000,2856
0x0000,2855
0x0000,2855
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2854
0x0000,2856
0x0000,2855
0x0000,2858
0x0000,2856
0x0000,2854
0x0000,2856
0x0000,2857
0x0000,2856
0x0000,2853
0x0000,2856
0x0000,2857
0x0000,2857
0x0000,2857
0x0000,2853
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2856
0x0000,2856
0x0000,2856
0x0000,2853
0x0000,2851
0x0000,2857
0x0000,2853
0x0000,2855
0x0000,2854
0x0000,2853
0x0000,2853
0x0000,2856
0x0000,2856
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2855
0x0000,2851
0x0000,2854
0x0000,2856
0x0000,2856
0x0000,2855
0x0000,2853
0x0000,2852
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2854
0x0000,2855
0x0000,2856
0x0000,2857
0x0000,2854
0x0000,2853
0x0000,2856
0x0000,2853
0x0000,2854
0x0000,2855
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2854
0x0000,2853
0x0000,2855
0x0000,2854
0x0000,2857
0x0000,2856
0x0000,2855
0x0000,2854
0x0000,2854
0x0000,2856
0x0000,2855
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2856
0x0000,2854
0x0000,2855
0x0000,2856
0x0000,2856
0x0000,2854
0x0000,2854
0x0000,2854
0x0000,2855
0x0000,2856
0x0000,2853
0x0000,2855
0x0000,2857
0x0000,2856
0x0000,2853
0x0000,2854
0x0000,2855
0x0000,2854
0x0000,2855
0x0000,2855
0x0000,2855
0x0000,2855
0x0000,2856
0x0000,2855
0x0000,2855
0x0000,2852
0x0000,2854
0x0000,2853
0x0000,2856
0x0000,2854
0x0000,2854
0x0000,2855
0x0000,2856
0x0000,2856
0x0000,2856
0x0000,2854
0x0000,2853
0x0000,2855
